.tabfm_row_id,round_tier,position,height_inches,weight_lbs,bmi_proxy,weight_position_pct,height_position_pct,sophomore_feature_coverage,school_drafts_prior_5y,school_position_drafts_prior_5y,so_defensive_tot_pct,so_rushing_yds_pct,so_rush_yds_share_pct,so_defensive_solo_pct,so_receiving_yds_pct,so_rec_yds_share_pct,so_defensive_tfl_pct,so_defensive_pd_pct,so_defensive_sacks_pct,so_rush_share_pct,so_defensive_qb_hur_pct,so_receiving_td_pct,so_interceptions_int_pct,so_rushing_td_pct,so_passing_yds_pct,so_passing_td_pct,so_rec_td_share_pct,stars,recruit_rank,recruit_rating,recruit_rank_pct,recruit_rating_pct,years_since_recruit,blue_chip,power_conference,has_recruiting,has_sophomore_stats,has_junior_stats,junior_feature_coverage,transfer_or_school_mismatch
178,R2_3,IDL,78,315,36.39792899408284,0.943089430894309,0.9591836734693877,0.8048780487804879,39,3,0.9347826086956522,0.007246376811594203,0.007246376811594203,0.9565217391304348,0,0,0.9637681159420289,0,0.9710144927536232,0,0.8623188405797102,0,0,0,0,0,0,5,20,0.9897,0.9661016949152542,0.9661016949152542,0,1,1,1,1,0,0,0
179,R6_7,WR,70,215,30.84591836734694,0.948051948051948,0.12337662337662338,0.8536585365853658,24,3,0,0.9151515151515152,0.9090909090909091,0,0.9636363636363636,0.9393939393939394,0,0,0,0.896969696969697,0,0.9333333333333333,0,0,0,0,0.8731343283582089,4,262,0.9079,0.9144736842105263,0.9078947368421053,1,1,1,1,1,0,0,0
180,R4_5,RB,70,215,30.84591836734694,0.7596153846153846,0.34134615384615385,0.8536585365853658,0,0,0.9571428571428572,0.9214285714285714,0.7122302158273381,0.9642857142857143,0.9142857142857143,0.7985611510791367,0,1,0,0.7482014388489209,0,0,0,0.9785714285714285,0,0,0,3,980,0.8585,0.75,0.7777777777777778,2,0,1,1,1,0,0,0
181,R1,CB,74,193,24.777027027027028,0.7084639498432602,0.8714733542319749,0.8048780487804879,33,6,0.9128205128205128,0.005128205128205128,0.005128205128205128,0.9128205128205128,0,0,0.9333333333333333,0.9487179487179487,0,0,0,0,0.8769230769230769,0,0,0,0,4,48,0.9755,0.9631901840490797,0.9570552147239264,2,1,1,1,1,0,0,0
182,R2_3,CB,72,189,25.630208333333332,0.5862068965517241,0.46394984326018807,0.8048780487804879,6,2,0.9692307692307692,0.005128205128205128,0.005128205128205128,0.9641025641025641,0,0,0.9948717948717949,0.9897435897435898,0,0,0.9692307692307692,0,0,0,0,0,0,3,1716,0.8311,0.4785276073619632,0.4723926380368098,2,0,1,1,1,0,0,0
183,R2_3,ILB,76,255,31.036184210526315,0.9796610169491525,0.9355932203389831,0.8048780487804879,20,1,0.9482758620689655,0.005747126436781609,0.005747126436781609,0.9540229885057471,0,0,0.9712643678160919,0.9022988505747126,0.9827586206896551,0,0.8563218390804598,0,0.9770114942528736,0,0,0,0,4,56,0.9725,0.9854014598540146,0.9781021897810219,2,1,1,1,1,0,0,0
184,R1,WR,72,193,26.172646604938272,0.6136363636363636,0.39285714285714285,0.8536585365853658,43,5,0.8545454545454545,0.9818181818181818,0.9454545454545454,0,0.9757575757575757,0.9212121212121213,0,0.9878787878787879,0,0.9272727272727272,0,0.9939393939393939,0,0.9696969696969697,0,0,0.9328358208955224,5,20,0.9903,0.993421052631579,0.993421052631579,2,1,1,1,1,0,0,0
185,R2_3,ILB,79,260,29.286973241467713,0.9898305084745763,1,0.8048780487804879,0,0,0.9712643678160919,0.005747126436781609,0.005747126436781609,0.9540229885057471,0,0,0.9655172413793104,0.9770114942528736,0.9885057471264368,0,0.9942528735632183,0,0,0,0,0,0,3,1968,0.8206,0.46715328467153283,0.4233576642335766,2,0,0,1,1,0,0,0
186,R2_3,WR,74,205,26.31756756756757,0.8603896103896104,0.6623376623376623,0.8536585365853658,6,2,0.6484848484848484,0.9575757575757575,0.9515151515151515,0.7333333333333333,0.9878787878787879,0.9696969696969697,0,0,0,0.9212121212121213,0,0.9575757575757575,0,0,0,0,0.8805970149253731,4,113,0.9495,0.9605263157894737,0.9605263157894737,2,1,1,1,1,0,0,0
187,R1,WR,73,185,24.40514167761306,0.37012987012987014,0.5227272727272727,0.8292682926829268,1,0,0,0.01818181818181818,0.01818181818181818,0,0.30303030303030304,0.4121212121212121,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,1,0,0,0
